,professional_user_id,sign_up_date,professional_type,gender,price,is_accepting_half_hour,is_gold,is_diamond,is_silver
0,57edbf05e66d0a12e47ff296,2019-05-03,psychologist,f,150.0,False,True,False,True
6,5d42ef69f92e12626dc31a25,2019-08-01,psychologist,f,60.0,True,False,False,True
8,60918bf422e545280090ab81,2021-05-04,psychologist,m,60.0,True,False,False,True
12,582e4a18e66d03133064bc15,2016-11-18,psychologist,f,100.0,False,False,False,True
14,5d8a90e92601972573b6ca68,2019-09-24,psychologist,f,90.0,True,False,False,True
16,5b4e4af6e66d031f78f3b048,2018-07-17,psychologist,f,130.0,True,True,True,True
30,5b4ebb40e66d031f7843a7ba,2018-07-18,psychologist,f,95.0,False,True,False,True
32,5921dc80e66d030808575657,2019-05-03,psychologist,f,250.0,False,True,False,True
54,5e84baaf0501823a865e0771,2020-04-01,psychologist,f,80.0,True,True,True,True
55,59248347e66d031108022339,2019-05-03,psychologist,f,110.0,False,True,True,True
57,58349e8ce66d030aeccf60ef,2016-11-22,psychologist,m,120.0,False,True,True,True
113,580bd70ce66d040ab425eab9,2016-10-22,psychologist,f,130.0,False,True,True,True
183,584fcfc3e66d0308a4cfb816,2016-12-13,psychologist,f,180.0,False,False,False,True
185,5a984938e66d031d14d56c30,2018-03-01,psychologist,f,0.0,,False,False,True
186,5b16d8e0e66d0d1acc5770c4,2018-06-05,psychologist,f,150.0,False,False,False,True
221,580bccf4e66d040ab425e94c,2016-10-22,psychologist,f,110.0,,False,False,True
238,5f0c676c4e26b019bc911c2a,2020-07-13,psychologist,f,130.0,False,True,False,True
243,602d375d25bc1b2cdc449c00,2021-02-17,psychologist,f,45.0,False,False,False,True
244,6016af58e87c4c53475bc025,2021-01-31,psychoanalyst,f,100.0,False,True,False,True
245,6092d657e6b6914214070696,2021-05-05,psychologist,f,50.0,True,False,False,True
246,6087300a187c410528c2bb56,2021-04-26,psychoanalyst,f,60.0,True,False,False,True
247,606272fb5ef9f949d5146af9,2021-03-30,psychologist,f,50.0,True,False,False,True
249,60a8408f47aa6703f1f7fc56,2021-05-21,psychologist,f,60.0,False,False,False,True
285,5885f723e66d031750bbbaaf,2017-01-23,psychologist,f,100.0,False,True,False,True
288,591422171fd9442f488d098d,2017-05-11,psychologist,f,60.0,False,True,True,True
388,5c16e3a5e66d031c7ca5123a,2018-12-16,psychologist,m,90.0,False,True,True,True
392,5e74faf84fcf7c43dfa7c205,2020-03-20,psychologist,f,60.0,True,False,False,True
396,5cf8427ee66d032b24f0d1c4,2019-06-05,psychologist,f,90.0,False,False,False,True
402,5d4b33afa705d4477fed07e9,2019-08-07,psychoanalyst,f,120.0,False,False,False,True
406,584b1a3fe66d0315b8b754d0,2016-12-09,psychologist,f,180.0,False,False,False,True
451,5926f1ade66d03158036746e,2019-05-03,psychologist,f,150.0,True,False,False,True
457,5d79277952bf8d49cc57544d,2019-09-11,psychologist,m,75.0,False,False,False,True
500,57eee7bce66d0311d0169267,2019-05-03,psychologist,f,210.0,False,True,True,True
526,602684063902cd66c39ac33d,2021-02-12,psychologist,f,95.0,True,True,True,True
527,5b9ff3dde66d100b64484215,2018-09-17,coach,f,200.0,False,True,True,True
529,58d26da4e66d030b1003e93e,2017-03-22,psychologist,f,120.0,False,False,False,True
541,57e292bce66d0306ec797f61,2019-05-03,psychologist,f,180.0,False,True,True,True
589,5e4572663a18c6065b93bc3b,2020-02-13,psychologist,f,90.0,False,False,False,True
601,5d55c7a0601a8124069e6c41,2019-08-15,psychologist,m,130.0,False,True,True,True
626,6033eee145eb870e584b0dd2,2021-02-22,psychologist,f,90.0,False,True,False,True
628,5d7bcdc45443174ff15ba62c,2019-09-13,therapist,m,120.0,True,True,False,True
638,5e8bd0da91a5a13dedb082a2,2020-04-07,psychologist,m,150.0,False,False,False,True
639,596d3cbde66d03176c4c6c0c,2017-07-17,psychologist,m,120.0,True,True,False,True
707,59400d39e66d0319084ccf59,2017-06-13,psychologist,f,125.0,False,False,False,True
709,5bd99fb0e66d030b240b87b2,2018-10-31,psychologist,f,110.0,False,False,False,True
731,5d8cceb42601972573b74278,2019-09-26,psychologist,f,150.0,False,True,True,True
736,5bffd436e66d0302300e3b72,2018-11-29,psychologist,f,120.0,False,True,True,True
742,608f15c4b97ce765e18c38e0,2021-05-02,psychologist,f,70.0,True,False,False,True
743,58176106e66d0317a07ac2d9,2019-05-03,psychologist,f,135.0,False,False,False,True
752,5e173cc40ae38e78f4fdfdf5,2020-01-09,psychologist,f,60.0,True,True,True,True
770,57e2e3d1e66d0306ec799a59,2016-09-21,psychologist,f,90.0,True,False,False,True
775,5e986e0d6997657371631c27,2020-04-16,psychologist,f,130.0,False,True,True,True
777,5b8d5e74e66d0716a81a8f38,2018-09-03,psychologist,f,180.0,True,False,False,True
779,57d724a9aac5f8179c0b4469,2016-09-12,psychologist,m,180.0,False,False,False,True
782,5c899283e66d03179ca8a87d,2019-03-13,psychologist,f,175.0,False,False,False,True
795,6075892f699cee5ab5bce03d,2021-04-13,psychologist,f,200.0,False,True,True,True
809,57edc1cde66d0a12e47ff2fc,2016-09-30,psychologist,f,170.0,False,True,True,True
817,56f28d6650af9914e88b6cf1,2021-01-20,psychologist,m,90.0,False,False,False,True
837,5d71366f080b42311b27e8af,2019-09-05,psychologist,f,110.0,False,False,False,True
842,58e3f3e3e66d0410a4f7579b,2017-04-04,psychologist,f,160.0,False,False,False,True
843,57cd591dc351550bbc08b79a,2016-09-05,psychologist,f,190.0,True,True,False,True
865,56f28d4f50af9914e88b6ceb,2021-01-20,psychologist,f,170.0,False,False,False,True
867,58c2ed8fe66d031610cfb3ca,2017-03-10,psychologist,f,120.0,,False,False,True
882,5cfa9ab6e66d032ca4202577,2019-06-07,psychoanalyst,f,90.0,False,True,False,True
888,577e760667c5f513608a0509,2016-07-07,psychologist,f,90.0,False,False,False,True
889,58c40a5ee66d031b34b47cd7,2019-05-03,psychologist,f,180.0,False,True,False,True
904,5e68fe1ddebbe142d909c024,2020-03-11,psychoanalyst,m,93.0,False,True,False,True
910,5ec8476111c0000f69dfe98b,2020-05-22,psychologist,f,150.0,True,False,False,True
916,5b2446fee66d0312206183c6,2018-06-15,psychologist,f,110.0,False,False,False,True
919,5d35b9cb4ec5c1470d294394,2019-07-22,psychoanalyst,m,60.0,False,,,
921,584f1de6e66d1012508e6431,2016-12-12,psychologist,f,150.0,True,True,True,True
922,5c8e4157e66d032750aa01ab,2019-03-17,therapist,f,70.0,True,False,False,True
924,5d49a20ccca890359f3ef7c0,2019-08-06,psychologist,m,80.0,False,True,False,True
925,5af9c6afe66d031c9c69ab14,2018-05-14,psychologist,f,150.0,False,True,False,True
976,6089f009187c410528d2aa9e,2021-04-28,psychologist,m,240.0,False,True,False,True
983,57ebf2c9e66d0f039498d051,2016-09-28,psychologist,f,150.0,False,True,True,True
997,5c0adf83e66d03199c2bf77f,2018-12-07,psychologist,f,110.0,False,True,True,True
1001,5eaf430209c21d2aa389fb10,2020-05-03,psychologist,m,120.0,True,True,False,True
1014,5d2b5835e66d030e3c5be6eb,2019-07-14,psychologist,f,80.0,True,True,True,True
1028,5974ce6ae66d0310889f67fa,2017-07-23,psychologist,m,90.0,False,True,False,True
1029,5da8da5f735614267cf054f3,2019-10-17,psychologist,f,100.0,True,True,False,True
1030,5ed54a6a2b50d2298e61a253,2020-06-01,psychologist,f,100.0,False,True,False,True
1060,5c376d10e66d031b20a28666,2019-01-10,psychologist,f,90.0,True,True,False,True
1063,60908b410468c54c541b03cd,2021-05-03,psychologist,f,70.0,True,False,False,True
1077,5f3058e4c3d3e2191772367b,2020-08-09,psychologist,f,100.0,False,True,True,True
1109,5df8d938f94e65754854aa01,2019-12-17,coach,m,105.0,False,True,False,True
1111,5dfa380a75e6130706e13325,2019-12-18,psychologist,f,80.0,True,False,False,True
1113,5fa96b7f6d071411b15133c5,2020-11-09,psychologist,m,120.0,True,False,False,True
1184,57c6c3abc43aff13f80f6a1f,2016-08-31,psychologist,f,190.0,False,False,False,True
1377,58131e78e66d030c501e0d63,2016-10-28,psychologist,f,160.0,False,True,True,True
1405,5de6c890538b5f66e154c301,2019-12-03,psychoanalyst,m,60.0,True,False,False,True
1409,5d98dd1d788a7c765c2f2a78,2019-10-05,psychologist,m,150.0,False,True,False,True
1412,5af2fb25e66d03159cd823c3,2018-05-09,psychologist,m,100.0,,False,False,True
1415,5f1f5a08c1571d0a5b96ba95,2020-07-27,psychologist,f,80.0,False,False,False,True
1416,59d2a724e66d0318e8979eee,2017-10-02,psychologist,f,90.0,True,True,True,True
1434,5e091ec8db3ba01aedae686e,2019-12-29,psychologist,m,120.0,False,False,False,True
1457,56f28d8850af9914e88b6cf7,2016-01-01,psychologist,f,140.0,,False,False,True
1466,57c9c8edc351550bbc08ac33,2016-09-02,psychologist,f,150.0,False,True,False,True
1515,5cfd87cce66d03064c142242,2019-06-09,psychologist,f,65.0,True,True,False,True
1517,61098db6f946a20011da6366,2021-08-03,psychoanalyst,f,70.0,True,True,False,True
1518,58b97f35e66d03097452b96c,2017-03-03,psychologist,f,90.0,True,False,False,True
1530,5b99239de66d0506c837d05a,2018-09-12,psychologist,m,150.0,True,True,True,True
1535,5e2083188baf65605347fa99,2020-01-16,psychologist,f,85.0,True,True,False,True
1549,5e7b5e5dabc5837f75acb116,2020-03-25,psychologist,f,200.0,False,False,False,True
1562,5d978511788a7c765c2f1d0c,2019-10-04,psychologist,m,120.0,False,False,False,True
1563,5fb5033b61bcc550c30dba15,2020-11-18,psychologist,f,120.0,True,True,False,True
1573,5e6ed9be8ec14265296a0481,2020-03-16,psychologist,f,120.0,False,False,False,True
1601,5bb4f945e66d0320d04c8e36,2018-10-03,psychologist,f,170.0,False,True,True,True
1606,5d323b3c4ec5c1470d292410,2019-07-19,psychologist,f,90.0,False,True,False,True
1642,605079044348777ea843db07,2021-03-16,psychologist,f,55.0,True,False,False,True
1644,605e5820c78fe833c8fefee8,2021-03-26,psychologist,f,60.0,False,True,True,True
1665,5e5ba0491d2096178207b9d7,2020-03-01,psychologist,f,120.0,False,True,False,True
1711,5d8f45652601972573b773fa,2019-09-28,psychologist,f,85.0,False,True,True,True
1723,5cda297ee66d031b48d2898e,2019-05-14,psychologist,m,80.0,False,False,False,True
1725,5aec9346e66d031098ccbd53,2018-05-04,psychologist,f,150.0,True,True,True,True
1741,5d42046af92e12626dc305aa,2019-07-31,psychologist,f,90.0,False,True,True,True
1757,5d93cb16e4e77c2f91b63095,2019-10-01,psychologist,m,80.0,False,True,True,True
1778,591422901fd9442f488d099f,2017-05-11,psychologist,f,60.0,False,False,False,True
1781,5a1805c7e66d070f4c2d4cf5,2017-11-24,psychologist,f,150.0,True,True,True,True
1786,5ff31ba69f4803112608053a,2021-01-04,psychologist,f,120.0,False,False,False,True
1819,580bdea4e66d040ab425ec12,2016-10-22,psychologist,f,150.0,False,True,False,True
1836,588dfbbce66d030bb8ba295b,2017-01-29,psychologist,f,150.0,,False,False,True
1844,58b9ce1ae66d03097452bd92,2017-03-03,psychologist,f,100.0,False,True,True,True
1846,5887cf30e66d030678b5eb47,2017-01-24,psychologist,f,150.0,,False,False,True
1927,5ea0d228d29f0740034a927e,2020-04-22,psychologist,f,340.0,False,True,False,True
1932,5f2383e38357ef1b905c0a6e,2020-07-31,psychologist,f,149.0,False,True,True,True
1967,5b6b37fde66d083d08339aeb,2019-05-03,psychologist,f,230.0,False,False,False,True
1975,5f02704431f76745e87f6add,2020-07-06,psychologist,f,95.0,False,True,True,True
1992,5d128474e66d030e186db679,2019-06-25,psychologist,m,80.0,True,False,False,True
1993,5de93bdc61cbdd0ad0649a48,2019-12-05,psychologist,m,60.0,False,True,False,True
2046,5c51dee5e66d031f240584d4,2019-01-30,psychologist,f,140.0,False,True,True,True
2062,5d7fc76c25e67b78ef0f45a4,2019-09-16,psychologist,f,120.0,True,False,False,True
2197,5b8e7b87e66d031dc05b2dcf,2018-09-04,psychoanalyst,m,70.0,True,True,False,True
2214,5e1e2f490c3e7c3b9989efbf,2020-01-14,psychoanalyst,nb,130.0,False,True,False,True
2216,605a2d9541c0793fb285fce2,2021-03-23,psychologist,f,60.0,False,True,False,True
2252,5f0c74224e26b019bc914fb4,2020-07-13,psychologist,m,110.0,True,False,False,True
2255,5d519eda994d43053dd784ff,2019-08-12,psychologist,m,80.0,True,False,False,True
2258,5f368c10876e574c0471047d,2020-08-14,therapist,f,90.0,False,True,False,True
2259,576a812d6b515e128cea46a3,0001-01-01,psychologist,f,120.0,True,False,False,True
2276,584b19e7e66d0315b8b754a6,2016-12-09,psychologist,f,90.0,False,True,True,True
2278,5d48354f31a9440f41373042,2019-08-05,psychologist,m,180.0,False,False,False,True
2327,5b8e9f51e66d031dc0881431,2018-09-04,psychologist,f,110.0,False,True,True,True
2331,5e03cb6adb3ba01aedae5095,2019-12-25,psychologist,f,120.0,True,True,True,True
2393,5d85020974732a4503de7e7d,2019-09-20,psychologist,f,250.0,False,False,False,True
2424,5ea9ca72c5e364752189bffe,2020-04-29,psychologist,f,150.0,True,False,False,True
2447,5efbf05dd2f877067d2b3a6f,2020-07-01,psychoanalyst,f,80.0,True,False,False,True
2448,5aa014dce66d0315f4a27bb1,2018-03-07,psychologist,f,120.0,False,False,False,True
2450,5e75152b4a55926f61a663d8,2020-03-20,psychologist,m,150.0,False,False,False,True
2451,5e1cdb676dd6fe3912501c7f,2020-01-13,psychoanalyst,m,60.0,True,False,False,True
2477,5e9dea515fab0b739861cd4a,2020-04-20,therapist,f,155.0,False,True,False,True
2492,5dd1af4530f70771eba8ccbd,2019-11-17,psychologist,m,120.0,True,False,False,True
2512,5e77b4944fcf7c43dfab02d5,2020-03-22,psychologist,f,78.0,False,True,False,True
2538,5cb62a7ce66d032ec0d61d22,2019-04-16,psychoanalyst,m,80.0,False,True,False,True
2540,5db8bee77e9d85147c204b4c,2019-10-29,psychologist,f,120.0,False,False,False,True
2633,5e5d068afcfc9604fd53f661,2020-03-02,psychologist,m,120.0,True,True,True,True
2646,5b720b15e66d033a049d6a1f,2018-08-13,psychologist,f,200.0,False,False,False,True
